,Unnamed: 0,Name,Location,city_coord,lat,long
53,53,Divine Medical Centre,"Divine Medical Centre. 16, Norman Williams Street, Ikoyi. Lagos","(6.45254, 3.43584)",6.45254,3.43584
54,54,Lagoon (Gold Cross) Hospital,"Lagoon (Gold Cross) Hospital. 17, Bourdillon Road, Ikoyi. Lagos","(6.44575, 3.43743)",6.44575,3.43743
55,55,May Clinics Limited,"May Clinics Limited. 24/26, Sadiku Street, Ilasamaja. Lagos","(6.52294, 3.33722)",6.52294,3.33722
56,56,May Clinics Limited,"May Clinics Limited. 20, Sura Mogaji Street off Coker road, Ilupeju. Lagos","(6.548610002058, 3.361620019824)",6.548610002058,3.361620019824
57,57,Nidus Aquillae Hospital,"Nidus Aquillae Hospital. 19, Oba Adetona Close, Ilupeju, Lagos","(6.56421, 3.35628)",6.56421,3.35628
58,58,Solad Medical Centre,"Solad Medical Centre. 16, Maria Road, off Candos Road, Ipaja. Lagos","(6.60884, 3.25448)",6.60884,3.25448
59,59,Spark View Hospital,"Spark View Hospital. 2A, Wilmer Street, Isheri. Lagos","(6.555864706724, 3.361722386781)",6.555864706724,3.361722386781
60,60,Lota Medical Centre,"Lota Medical Centre. 1, Mojisola Abass road, Isheri Olofin. Lagos","(6.57258, 3.28876)",6.57258,3.28876
61,61,St. Emmanuel Clinic & Maternity Home,"St. Emmanuel Clinic & Maternity Home. 2, Bola Ademuyiwa Street, Isolo. Lagos","(6.538230020804, 3.328440004647)",6.538230020804,3.328440004647
62,62,Mucas Hospital Ltd,"Mucas Hospital Ltd. 19, Ogun Street, Adealu Bus Stop, Dopemu. Lagos","(6.60999, 3.31996)",6.60999,3.31996
63,63,Deji Clinic Ltd,"Deji Clinic Ltd 5, Doyin Omololu Street, Ketu, Kosefe. Lagos","(6.594352464077, 3.395463547492)",6.594352464077,3.395463547492
64,64,Delta Crown Hospital,"Delta Crown Hospital. 14, Ajayi Street, Ketu. Lagos","(6.60035, 3.38976)",6.60035,3.38976
65,65,Elegbeleye Specialist Hospital,"Elegbeleye Specialist Hospital. 1, Elegbeleye Street, Ikosi, Ketu. Lagos","(6.6038, 3.3826)",6.6038,3.3826
66,66,Inland Hospital,"Inland Hospital. 11, Bola Owodun Street, Alapere, Ketu. Lagos","(6.63483, 3.88052)",6.63483,3.88052
67,67,Lade Hospital,"Lade Hospital. 17, Olatunji Ige street, Ikosi Ketu. Lagos","(6.601716792959, 3.385628131564)",6.601716792959,3.385628131564
68,68,Pama ENT Clinic,"Pama ENT Clinic. 7, Onasanya Street, Ikosi, Ketu. Lagos","(6.587583116207, 3.394523946346)",6.587583116207,3.394523946346
69,69,St. Nicholas Hospital,"St. Nicholas Hospital. 57, Campbell Street, Lagos Island. Lagos","(6.448302214303, 3.398208529149)",6.448302214303,3.398208529149
70,70,Britannia Hospital,"Britannia Hospital. Aliu Animashaun Avenue, Lekki. Lagos","(6.43371, 3.46053)",6.43371,3.46053
71,71,Childcare centre,"Childcare centre. Oluwakayode Jacobs Cres, Lekki Phase I, Lagos","(6.436253003449, 3.480646626342)",6.436253003449,3.480646626342
72,72,Doren Specialist Hospital,"Doren Specialist Hospital. 1, Kemfat Road, Thomas Estate, Ajah. Lagos","(6.46962, 3.56287)",6.46962,3.56287
